SimFinId,Date,Open,High,Low,Close,Adj. Close,Volume,Dividend,Shares Outstanding,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Operating Income (Loss),Non-Operating Income (Loss),"Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Currency,Fiscal Year,Fiscal Period,Report Date,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,IndustryId,End of financial year (month),Number Employees
18,2019-04-10,60.03,60.19,59.82,60.11,59.89,14492860,0.0,13895640000.0,161857000000.0,-71896000000.0,89961000000.0,-54033000000.0,-28015000000.0,-26018000000.0,35928000000.0,5394000000.0,41322000000.0,39625000000.0,-5282000000.0,34343000000.0,34343000000.0,34343000000.0,119675000000.0,27509263948.0,999000000.0,152578000000.0,84668513992.0,13078000000.0,36607000000.0,123331000000.0,275909000000.0,24176521022.0,1200018539.0,45221000000.0,14784467165.0,29246000000.0,74467000000.0,50552000000.0,152122000000.0,201442000000.0,275909000000.0,USD,2019.0,FY,2019-12-31,2020-02-04,2022-02-02,13851920000.0,14901660000.0,34343000000.0,10856000000.0,8502000000.0,819000000.0,-4340000000.0,428000000.0,4731000000.0,54520000000.0,-23548000000.0,-4017000000.0,-29491000000.0,0.0,-268000000.0,-18396000000.0,-23209000000.0,1797000000.0,101002.0,12.0,135301.0
18,2019-04-11,60.2,60.4,60.01,60.23,60.01,14204620,0.0,13895640000.0,161857000000.0,-71896000000.0,89961000000.0,-54033000000.0,-28015000000.0,-26018000000.0,35928000000.0,5394000000.0,41322000000.0,39625000000.0,-5282000000.0,34343000000.0,34343000000.0,34343000000.0,119675000000.0,27509263948.0,999000000.0,152578000000.0,84668513992.0,13078000000.0,36607000000.0,123331000000.0,275909000000.0,24176521022.0,1200018539.0,45221000000.0,14784467165.0,29246000000.0,74467000000.0,50552000000.0,152122000000.0,201442000000.0,275909000000.0,USD,2019.0,FY,2019-12-31,2020-02-04,2022-02-02,13851920000.0,14901660000.0,34343000000.0,10856000000.0,8502000000.0,819000000.0,-4340000000.0,428000000.0,4731000000.0,54520000000.0,-23548000000.0,-4017000000.0,-29491000000.0,0.0,-268000000.0,-18396000000.0,-23209000000.0,1797000000.0,101002.0,12.0,135301.0
18,2019-04-12,60.5,60.92,60.41,60.89,60.67,18675880,0.0,13895640000.0,161857000000.0,-71896000000.0,89961000000.0,-54033000000.0,-28015000000.0,-26018000000.0,35928000000.0,5394000000.0,41322000000.0,39625000000.0,-5282000000.0,34343000000.0,34343000000.0,34343000000.0,119675000000.0,27509263948.0,999000000.0,152578000000.0,84668513992.0,13078000000.0,36607000000.0,123331000000.0,275909000000.0,24176521022.0,1200018539.0,45221000000.0,14784467165.0,29246000000.0,74467000000.0,50552000000.0,152122000000.0,201442000000.0,275909000000.0,USD,2019.0,FY,2019-12-31,2020-02-04,2022-02-02,13851920000.0,14901660000.0,34343000000.0,10856000000.0,8502000000.0,819000000.0,-4340000000.0,428000000.0,4731000000.0,54520000000.0,-23548000000.0,-4017000000.0,-29491000000.0,0.0,-268000000.0,-18396000000.0,-23209000000.0,1797000000.0,101002.0,12.0,135301.0
18,2019-04-15,60.9,61.21,60.46,61.05,60.84,23750380,0.0,13895640000.0,161857000000.0,-71896000000.0,89961000000.0,-54033000000.0,-28015000000.0,-26018000000.0,35928000000.0,5394000000.0,41322000000.0,39625000000.0,-5282000000.0,34343000000.0,34343000000.0,34343000000.0,119675000000.0,27509263948.0,999000000.0,152578000000.0,84668513992.0,13078000000.0,36607000000.0,123331000000.0,275909000000.0,24176521022.0,1200018539.0,45221000000.0,14784467165.0,29246000000.0,74467000000.0,50552000000.0,152122000000.0,201442000000.0,275909000000.0,USD,2019.0,FY,2019-12-31,2020-02-04,2022-02-02,13851920000.0,14901660000.0,34343000000.0,10856000000.0,8502000000.0,819000000.0,-4340000000.0,428000000.0,4731000000.0,54520000000.0,-23548000000.0,-4017000000.0,-29491000000.0,0.0,-268000000.0,-18396000000.0,-23209000000.0,1797000000.0,101002.0,12.0,135301.0
18,2019-04-16,61.25,61.54,61.01,61.36,61.14,17126080,0.0,13895640000.0,161857000000.0,-71896000000.0,89961000000.0,-54033000000.0,-28015000000.0,-26018000000.0,35928000000.0,5394000000.0,41322000000.0,39625000000.0,-5282000000.0,34343000000.0,34343000000.0,34343000000.0,119675000000.0,27509263948.0,999000000.0,152578000000.0,84668513992.0,13078000000.0,36607000000.0,123331000000.0,275909000000.0,24176521022.0,1200018539.0,45221000000.0,14784467165.0,29246000000.0,74467000000.0,50552000000.0,152122000000.0,201442000000.0,275909000000.0,USD,2019.0,FY,2019-12-31,2020-02-04,2022-02-02,13851920000.0,14901660000.0,34343000000.0,10856000000.0,8502000000.0,819000000.0,-4340000000.0,428000000.0,4731000000.0,54520000000.0,-23548000000.0,-4017000000.0,-29491000000.0,0.0,-268000000.0,-18396000000.0,-23209000000.0,1797000000.0,101002.0,12.0,135301.0
18,2019-04-17,61.65,62.03,61.39,61.82,61.6,24438600,0.0,13895640000.0,161857000000.0,-71896000000.0,89961000000.0,-54033000000.0,-28015000000.0,-26018000000.0,35928000000.0,5394000000.0,41322000000.0,39625000000.0,-5282000000.0,34343000000.0,34343000000.0,34343000000.0,119675000000.0,27509263948.0,999000000.0,152578000000.0,84668513992.0,13078000000.0,36607000000.0,123331000000.0,275909000000.0,24176521022.0,1200018539.0,45221000000.0,14784467165.0,29246000000.0,74467000000.0,50552000000.0,152122000000.0,201442000000.0,275909000000.0,USD,2019.0,FY,2019-12-31,2020-02-04,2022-02-02,13851920000.0,14901660000.0,34343000000.0,10856000000.0,8502000000.0,819000000.0,-4340000000.0,428000000.0,4731000000.0,54520000000.0,-23548000000.0,-4017000000.0,-29491000000.0,0.0,-268000000.0,-18396000000.0,-23209000000.0,1797000000.0,101002.0,12.0,135301.0
18,2019-04-18,61.96,62.1,61.73,61.82,61.6,26636460,0.0,13895640000.0,161857000000.0,-71896000000.0,89961000000.0,-54033000000.0,-28015000000.0,-26018000000.0,35928000000.0,5394000000.0,41322000000.0,39625000000.0,-5282000000.0,34343000000.0,34343000000.0,34343000000.0,119675000000.0,27509263948.0,999000000.0,152578000000.0,84668513992.0,13078000000.0,36607000000.0,123331000000.0,275909000000.0,24176521022.0,1200018539.0,45221000000.0,14784467165.0,29246000000.0,74467000000.0,50552000000.0,152122000000.0,201442000000.0,275909000000.0,USD,2019.0,FY,2019-12-31,2020-02-04,2022-02-02,13851920000.0,14901660000.0,34343000000.0,10856000000.0,8502000000.0,819000000.0,-4340000000.0,428000000.0,4731000000.0,54520000000.0,-23548000000.0,-4017000000.0,-29491000000.0,0.0,-268000000.0,-18396000000.0,-23209000000.0,1797000000.0,101002.0,12.0,135301.0
18,2019-04-22,61.8,62.45,61.42,62.44,62.22,16146680,0.0,13884876300.0,161857000000.0,-71896000000.0,89961000000.0,-54033000000.0,-28015000000.0,-26018000000.0,35928000000.0,5394000000.0,41322000000.0,39625000000.0,-5282000000.0,34343000000.0,34343000000.0,34343000000.0,119675000000.0,27509263948.0,999000000.0,152578000000.0,84668513992.0,13078000000.0,36607000000.0,123331000000.0,275909000000.0,24176521022.0,1200018539.0,45221000000.0,14784467165.0,29246000000.0,74467000000.0,50552000000.0,152122000000.0,201442000000.0,275909000000.0,USD,2019.0,FY,2019-12-31,2020-02-04,2022-02-02,13851920000.0,14901660000.0,34343000000.0,10856000000.0,8502000000.0,819000000.0,-4340000000.0,428000000.0,4731000000.0,54520000000.0,-23548000000.0,-4017000000.0,-29491000000.0,0.0,-268000000.0,-18396000000.0,-23209000000.0,1797000000.0,101002.0,12.0,135301.0
18,2019-04-23,62.53,63.45,62.32,63.23,63.0,26398200,0.0,13884876300.0,161857000000.0,-71896000000.0,89961000000.0,-54033000000.0,-28015000000.0,-26018000000.0,35928000000.0,5394000000.0,41322000000.0,39625000000.0,-5282000000.0,34343000000.0,34343000000.0,34343000000.0,119675000000.0,27509263948.0,999000000.0,152578000000.0,84668513992.0,13078000000.0,36607000000.0,123331000000.0,275909000000.0,24176521022.0,1200018539.0,45221000000.0,14784467165.0,29246000000.0,74467000000.0,50552000000.0,152122000000.0,201442000000.0,275909000000.0,USD,2019.0,FY,2019-12-31,2020-02-04,2022-02-02,13851920000.0,14901660000.0,34343000000.0,10856000000.0,8502000000.0,819000000.0,-4340000000.0,428000000.0,4731000000.0,54520000000.0,-23548000000.0,-4017000000.0,-29491000000.0,0.0,-268000000.0,-18396000000.0,-23209000000.0,1797000000.0,101002.0,12.0,135301.0
18,2019-04-24,63.21,63.4,62.75,62.8,62.57,20375060,0.0,13884876300.0,161857000000.0,-71896000000.0,89961000000.0,-54033000000.0,-28015000000.0,-26018000000.0,35928000000.0,5394000000.0,41322000000.0,39625000000.0,-5282000000.0,34343000000.0,34343000000.0,34343000000.0,119675000000.0,27509263948.0,999000000.0,152578000000.0,84668513992.0,13078000000.0,36607000000.0,123331000000.0,275909000000.0,24176521022.0,1200018539.0,45221000000.0,14784467165.0,29246000000.0,74467000000.0,50552000000.0,152122000000.0,201442000000.0,275909000000.0,USD,2019.0,FY,2019-12-31,2020-02-04,2022-02-02,13851920000.0,14901660000.0,34343000000.0,10856000000.0,8502000000.0,819000000.0,-4340000000.0,428000000.0,4731000000.0,54520000000.0,-23548000000.0,-4017000000.0,-29491000000.0,0.0,-268000000.0,-18396000000.0,-23209000000.0,1797000000.0,101002.0,12.0,135301.0
18,2019-04-25,63.24,63.37,62.6,63.17,62.95,22145900,0.0,13884876300.0,161857000000.0,-71896000000.0,89961000000.0,-54033000000.0,-28015000000.0,-26018000000.0,35928000000.0,5394000000.0,41322000000.0,39625000000.0,-5282000000.0,34343000000.0,34343000000.0,34343000000.0,119675000000.0,27509263948.0,999000000.0,152578000000.0,84668513992.0,13078000000.0,36607000000.0,123331000000.0,275909000000.0,24176521022.0,1200018539.0,45221000000.0,14784467165.0,29246000000.0,74467000000.0,50552000000.0,152122000000.0,201442000000.0,275909000000.0,USD,2019.0,FY,2019-12-31,2020-02-04,2022-02-02,13851920000.0,14901660000.0,34343000000.0,10856000000.0,8502000000.0,819000000.0,-4340000000.0,428000000.0,4731000000.0,54520000000.0,-23548000000.0,-4017000000.0,-29491000000.0,0.0,-268000000.0,-18396000000.0,-23209000000.0,1797000000.0,101002.0,12.0,135301.0
18,2019-04-26,63.45,63.65,63.02,63.61,63.38,24828560,0.0,13884876300.0,161857000000.0,-71896000000.0,89961000000.0,-54033000000.0,-28015000000.0,-26018000000.0,35928000000.0,5394000000.0,41322000000.0,39625000000.0,-5282000000.0,34343000000.0,34343000000.0,34343000000.0,119675000000.0,27509263948.0,999000000.0,152578000000.0,84668513992.0,13078000000.0,36607000000.0,123331000000.0,275909000000.0,24176521022.0,1200018539.0,45221000000.0,14784467165.0,29246000000.0,74467000000.0,50552000000.0,152122000000.0,201442000000.0,275909000000.0,USD,2019.0,FY,2019-12-31,2020-02-04,2022-02-02,13851920000.0,14901660000.0,34343000000.0,10856000000.0,8502000000.0,819000000.0,-4340000000.0,428000000.0,4731000000.0,54520000000.0,-23548000000.0,-4017000000.0,-29491000000.0,0.0,-268000000.0,-18396000000.0,-23209000000.0,1797000000.0,101002.0,12.0,135301.0
18,2019-04-29,63.7,64.46,63.31,64.38,64.15,49988640,0.0,13884876300.0,161857000000.0,-71896000000.0,89961000000.0,-54033000000.0,-28015000000.0,-26018000000.0,35928000000.0,5394000000.0,41322000000.0,39625000000.0,-5282000000.0,34343000000.0,34343000000.0,34343000000.0,119675000000.0,27509263948.0,999000000.0,152578000000.0,84668513992.0,13078000000.0,36607000000.0,123331000000.0,275909000000.0,24176521022.0,1200018539.0,45221000000.0,14784467165.0,29246000000.0,74467000000.0,50552000000.0,152122000000.0,201442000000.0,275909000000.0,USD,2019.0,FY,2019-12-31,2020-02-04,2022-02-02,13851920000.0,14901660000.0,34343000000.0,10856000000.0,8502000000.0,819000000.0,-4340000000.0,428000000.0,4731000000.0,54520000000.0,-23548000000.0,-4017000000.0,-29491000000.0,0.0,-268000000.0,-18396000000.0,-23209000000.0,1797000000.0,101002.0,12.0,135301.0
18,2019-04-30,59.25,59.64,58.75,59.42,59.21,124140540,0.0,13884876300.0,161857000000.0,-71896000000.0,89961000000.0,-54033000000.0,-28015000000.0,-26018000000.0,35928000000.0,5394000000.0,41322000000.0,39625000000.0,-5282000000.0,34343000000.0,34343000000.0,34343000000.0,119675000000.0,27509263948.0,999000000.0,152578000000.0,84668513992.0,13078000000.0,36607000000.0,123331000000.0,275909000000.0,24176521022.0,1200018539.0,45221000000.0,14784467165.0,29246000000.0,74467000000.0,50552000000.0,152122000000.0,201442000000.0,275909000000.0,USD,2019.0,FY,2019-12-31,2020-02-04,2022-02-02,13851920000.0,14901660000.0,34343000000.0,10856000000.0,8502000000.0,819000000.0,-4340000000.0,428000000.0,4731000000.0,54520000000.0,-23548000000.0,-4017000000.0,-29491000000.0,0.0,-268000000.0,-18396000000.0,-23209000000.0,1797000000.0,101002.0,12.0,135301.0
18,2019-05-01,59.4,59.4,58.36,58.4,58.19,52859660,0.0,13884876300.0,161857000000.0,-71896000000.0,89961000000.0,-54033000000.0,-28015000000.0,-26018000000.0,35928000000.0,5394000000.0,41322000000.0,39625000000.0,-5282000000.0,34343000000.0,34343000000.0,34343000000.0,119675000000.0,27509263948.0,999000000.0,152578000000.0,84668513992.0,13078000000.0,36607000000.0,123331000000.0,275909000000.0,24176521022.0,1200018539.0,45221000000.0,14784467165.0,29246000000.0,74467000000.0,50552000000.0,152122000000.0,201442000000.0,275909000000.0,USD,2019.0,FY,2019-12-31,2020-02-04,2022-02-02,13851920000.0,14901660000.0,34343000000.0,10856000000.0,8502000000.0,819000000.0,-4340000000.0,428000000.0,4731000000.0,54520000000.0,-23548000000.0,-4017000000.0,-29491000000.0,0.0,-268000000.0,-18396000000.0,-23209000000.0,1797000000.0,101002.0,12.0,135301.0
18,2019-05-02,58.39,58.71,57.75,58.13,57.92,38896340,0.0,13884876300.0,161857000000.0,-71896000000.0,89961000000.0,-54033000000.0,-28015000000.0,-26018000000.0,35928000000.0,5394000000.0,41322000000.0,39625000000.0,-5282000000.0,34343000000.0,34343000000.0,34343000000.0,119675000000.0,27509263948.0,999000000.0,152578000000.0,84668513992.0,13078000000.0,36607000000.0,123331000000.0,275909000000.0,24176521022.0,1200018539.0,45221000000.0,14784467165.0,29246000000.0,74467000000.0,50552000000.0,152122000000.0,201442000000.0,275909000000.0,USD,2019.0,FY,2019-12-31,2020-02-04,2022-02-02,13851920000.0,14901660000.0,34343000000.0,10856000000.0,8502000000.0,819000000.0,-4340000000.0,428000000.0,4731000000.0,54520000000.0,-23548000000.0,-4017000000.0,-29491000000.0,0.0,-268000000.0,-18396000000.0,-23209000000.0,1797000000.0,101002.0,12.0,135301.0
18,2019-05-03,58.68,59.34,58.45,59.27,59.06,39613060,0.0,13884876300.0,161857000000.0,-71896000000.0,89961000000.0,-54033000000.0,-28015000000.0,-26018000000.0,35928000000.0,5394000000.0,41322000000.0,39625000000.0,-5282000000.0,34343000000.0,34343000000.0,34343000000.0,119675000000.0,27509263948.0,999000000.0,152578000000.0,84668513992.0,13078000000.0,36607000000.0,123331000000.0,275909000000.0,24176521022.0,1200018539.0,45221000000.0,14784467165.0,29246000000.0,74467000000.0,50552000000.0,152122000000.0,201442000000.0,275909000000.0,USD,2019.0,FY,2019-12-31,2020-02-04,2022-02-02,13851920000.0,14901660000.0,34343000000.0,10856000000.0,8502000000.0,819000000.0,-4340000000.0,428000000.0,4731000000.0,54520000000.0,-23548000000.0,-4017000000.0,-29491000000.0,0.0,-268000000.0,-18396000000.0,-23209000000.0,1797000000.0,101002.0,12.0,135301.0
18,2019-05-06,58.31,59.54,58.31,59.47,59.26,31278860,0.0,13884876300.0,161857000000.0,-71896000000.0,89961000000.0,-54033000000.0,-28015000000.0,-26018000000.0,35928000000.0,5394000000.0,41322000000.0,39625000000.0,-5282000000.0,34343000000.0,34343000000.0,34343000000.0,119675000000.0,27509263948.0,999000000.0,152578000000.0,84668513992.0,13078000000.0,36607000000.0,123331000000.0,275909000000.0,24176521022.0,1200018539.0,45221000000.0,14784467165.0,29246000000.0,74467000000.0,50552000000.0,152122000000.0,201442000000.0,275909000000.0,USD,2019.0,FY,2019-12-31,2020-02-04,2022-02-02,13851920000.0,14901660000.0,34343000000.0,10856000000.0,8502000000.0,819000000.0,-4340000000.0,428000000.0,4731000000.0,54520000000.0,-23548000000.0,-4017000000.0,-29491000000.0,0.0,-268000000.0,-18396000000.0,-23209000000.0,1797000000.0,101002.0,12.0,135301.0
18,2019-05-07,59.02,59.52,58.05,58.7,58.49,31027360,0.0,13884876300.0,161857000000.0,-71896000000.0,89961000000.0,-54033000000.0,-28015000000.0,-26018000000.0,35928000000.0,5394000000.0,41322000000.0,39625000000.0,-5282000000.0,34343000000.0,34343000000.0,34343000000.0,119675000000.0,27509263948.0,999000000.0,152578000000.0,84668513992.0,13078000000.0,36607000000.0,123331000000.0,275909000000.0,24176521022.0,1200018539.0,45221000000.0,14784467165.0,29246000000.0,74467000000.0,50552000000.0,152122000000.0,201442000000.0,275909000000.0,USD,2019.0,FY,2019-12-31,2020-02-04,2022-02-02,13851920000.0,14901660000.0,34343000000.0,10856000000.0,8502000000.0,819000000.0,-4340000000.0,428000000.0,4731000000.0,54520000000.0,-23548000000.0,-4017000000.0,-29491000000.0,0.0,-268000000.0,-18396000000.0,-23209000000.0,1797000000.0,101002.0,12.0,135301.0
