SimFinId,Date,Open,High,Low,Close,Adj. Close,Volume,Dividend,Shares Outstanding,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Operating Income (Loss),Non-Operating Income (Loss),"Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Currency,Fiscal Year,Fiscal Period,Report Date,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,IndustryId,End of financial year (month),Number Employees
111052,2019-04-10,49.67,50.19,49.55,50.16,48.06,86781152,0.0,18429136000.0,260174000000.0,-161782000000.0,98392000000.0,-34462000000.0,-18245000000.0,-16217000000.0,63930000000.0,1807000000.0,65737000000.0,65737000000.0,-10481000000.0,55256000000.0,55256000000.0,55256000000.0,100557000000.0,45808150798.0,4106000000.0,162819000000.0,37378000000.0,105341000000.0,32978000000.0,175697000000.0,338516000000.0,46236000000.0,16209615761.0,105722469480.0,91778108646.0,50503000000.0,248028000000.0,45174000000.0,45898000000.0,90488000000.0,338516000000.0,USD,2019.0,FY,2019-09-30,2019-10-31,2021-10-29,18471336000.0,18595652000.0,55256000000.0,12547000000.0,5076000000.0,-3488000000.0,69391000000.0,-10495000000.0,58093000000.0,45896000000.0,-14119000000.0,-7819000000.0,-66116000000.0,-90976000000.0,24311000000.0,101001.0,9.0,147000.0
111052,2019-04-11,50.21,50.25,49.61,49.74,47.66,83603232,0.0,18429136000.0,260174000000.0,-161782000000.0,98392000000.0,-34462000000.0,-18245000000.0,-16217000000.0,63930000000.0,1807000000.0,65737000000.0,65737000000.0,-10481000000.0,55256000000.0,55256000000.0,55256000000.0,100557000000.0,45808150798.0,4106000000.0,162819000000.0,37378000000.0,105341000000.0,32978000000.0,175697000000.0,338516000000.0,46236000000.0,16209615761.0,105722469480.0,91778108646.0,50503000000.0,248028000000.0,45174000000.0,45898000000.0,90488000000.0,338516000000.0,USD,2019.0,FY,2019-09-30,2019-10-31,2021-10-29,18471336000.0,18595652000.0,55256000000.0,12547000000.0,5076000000.0,-3488000000.0,69391000000.0,-10495000000.0,58093000000.0,45896000000.0,-14119000000.0,-7819000000.0,-66116000000.0,-90976000000.0,24311000000.0,101001.0,9.0,147000.0
111052,2019-04-12,49.8,50.03,49.05,49.72,47.64,111042672,0.0,18429136000.0,260174000000.0,-161782000000.0,98392000000.0,-34462000000.0,-18245000000.0,-16217000000.0,63930000000.0,1807000000.0,65737000000.0,65737000000.0,-10481000000.0,55256000000.0,55256000000.0,55256000000.0,100557000000.0,45808150798.0,4106000000.0,162819000000.0,37378000000.0,105341000000.0,32978000000.0,175697000000.0,338516000000.0,46236000000.0,16209615761.0,105722469480.0,91778108646.0,50503000000.0,248028000000.0,45174000000.0,45898000000.0,90488000000.0,338516000000.0,USD,2019.0,FY,2019-09-30,2019-10-31,2021-10-29,18471336000.0,18595652000.0,55256000000.0,12547000000.0,5076000000.0,-3488000000.0,69391000000.0,-10495000000.0,58093000000.0,45896000000.0,-14119000000.0,-7819000000.0,-66116000000.0,-90976000000.0,24311000000.0,101001.0,9.0,147000.0
111052,2019-04-15,49.65,49.96,49.5,49.81,47.72,70146584,0.0,18429136000.0,260174000000.0,-161782000000.0,98392000000.0,-34462000000.0,-18245000000.0,-16217000000.0,63930000000.0,1807000000.0,65737000000.0,65737000000.0,-10481000000.0,55256000000.0,55256000000.0,55256000000.0,100557000000.0,45808150798.0,4106000000.0,162819000000.0,37378000000.0,105341000000.0,32978000000.0,175697000000.0,338516000000.0,46236000000.0,16209615761.0,105722469480.0,91778108646.0,50503000000.0,248028000000.0,45174000000.0,45898000000.0,90488000000.0,338516000000.0,USD,2019.0,FY,2019-09-30,2019-10-31,2021-10-29,18471336000.0,18595652000.0,55256000000.0,12547000000.0,5076000000.0,-3488000000.0,69391000000.0,-10495000000.0,58093000000.0,45896000000.0,-14119000000.0,-7819000000.0,-66116000000.0,-90976000000.0,24311000000.0,101001.0,9.0,147000.0
111052,2019-04-16,49.87,50.34,49.64,49.81,47.73,102785540,0.0,18429136000.0,260174000000.0,-161782000000.0,98392000000.0,-34462000000.0,-18245000000.0,-16217000000.0,63930000000.0,1807000000.0,65737000000.0,65737000000.0,-10481000000.0,55256000000.0,55256000000.0,55256000000.0,100557000000.0,45808150798.0,4106000000.0,162819000000.0,37378000000.0,105341000000.0,32978000000.0,175697000000.0,338516000000.0,46236000000.0,16209615761.0,105722469480.0,91778108646.0,50503000000.0,248028000000.0,45174000000.0,45898000000.0,90488000000.0,338516000000.0,USD,2019.0,FY,2019-09-30,2019-10-31,2021-10-29,18471336000.0,18595652000.0,55256000000.0,12547000000.0,5076000000.0,-3488000000.0,69391000000.0,-10495000000.0,58093000000.0,45896000000.0,-14119000000.0,-7819000000.0,-66116000000.0,-90976000000.0,24311000000.0,101001.0,9.0,147000.0
111052,2019-04-17,49.88,50.84,49.65,50.78,48.66,115627120,0.0,18429136000.0,260174000000.0,-161782000000.0,98392000000.0,-34462000000.0,-18245000000.0,-16217000000.0,63930000000.0,1807000000.0,65737000000.0,65737000000.0,-10481000000.0,55256000000.0,55256000000.0,55256000000.0,100557000000.0,45808150798.0,4106000000.0,162819000000.0,37378000000.0,105341000000.0,32978000000.0,175697000000.0,338516000000.0,46236000000.0,16209615761.0,105722469480.0,91778108646.0,50503000000.0,248028000000.0,45174000000.0,45898000000.0,90488000000.0,338516000000.0,USD,2019.0,FY,2019-09-30,2019-10-31,2021-10-29,18471336000.0,18595652000.0,55256000000.0,12547000000.0,5076000000.0,-3488000000.0,69391000000.0,-10495000000.0,58093000000.0,45896000000.0,-14119000000.0,-7819000000.0,-66116000000.0,-90976000000.0,24311000000.0,101001.0,9.0,147000.0
111052,2019-04-18,50.78,51.04,50.63,50.97,48.83,96783064,0.0,18429136000.0,260174000000.0,-161782000000.0,98392000000.0,-34462000000.0,-18245000000.0,-16217000000.0,63930000000.0,1807000000.0,65737000000.0,65737000000.0,-10481000000.0,55256000000.0,55256000000.0,55256000000.0,100557000000.0,45808150798.0,4106000000.0,162819000000.0,37378000000.0,105341000000.0,32978000000.0,175697000000.0,338516000000.0,46236000000.0,16209615761.0,105722469480.0,91778108646.0,50503000000.0,248028000000.0,45174000000.0,45898000000.0,90488000000.0,338516000000.0,USD,2019.0,FY,2019-09-30,2019-10-31,2021-10-29,18471336000.0,18595652000.0,55256000000.0,12547000000.0,5076000000.0,-3488000000.0,69391000000.0,-10495000000.0,58093000000.0,45896000000.0,-14119000000.0,-7819000000.0,-66116000000.0,-90976000000.0,24311000000.0,101001.0,9.0,147000.0
111052,2019-04-22,50.71,51.23,50.59,51.13,48.99,77758180,0.0,18404300000.0,260174000000.0,-161782000000.0,98392000000.0,-34462000000.0,-18245000000.0,-16217000000.0,63930000000.0,1807000000.0,65737000000.0,65737000000.0,-10481000000.0,55256000000.0,55256000000.0,55256000000.0,100557000000.0,45808150798.0,4106000000.0,162819000000.0,37378000000.0,105341000000.0,32978000000.0,175697000000.0,338516000000.0,46236000000.0,16209615761.0,105722469480.0,91778108646.0,50503000000.0,248028000000.0,45174000000.0,45898000000.0,90488000000.0,338516000000.0,USD,2019.0,FY,2019-09-30,2019-10-31,2021-10-29,18471336000.0,18595652000.0,55256000000.0,12547000000.0,5076000000.0,-3488000000.0,69391000000.0,-10495000000.0,58093000000.0,45896000000.0,-14119000000.0,-7819000000.0,-66116000000.0,-90976000000.0,24311000000.0,101001.0,9.0,147000.0
111052,2019-04-23,51.11,51.94,50.98,51.87,49.7,93291964,0.0,18404300000.0,260174000000.0,-161782000000.0,98392000000.0,-34462000000.0,-18245000000.0,-16217000000.0,63930000000.0,1807000000.0,65737000000.0,65737000000.0,-10481000000.0,55256000000.0,55256000000.0,55256000000.0,100557000000.0,45808150798.0,4106000000.0,162819000000.0,37378000000.0,105341000000.0,32978000000.0,175697000000.0,338516000000.0,46236000000.0,16209615761.0,105722469480.0,91778108646.0,50503000000.0,248028000000.0,45174000000.0,45898000000.0,90488000000.0,338516000000.0,USD,2019.0,FY,2019-09-30,2019-10-31,2021-10-29,18471336000.0,18595652000.0,55256000000.0,12547000000.0,5076000000.0,-3488000000.0,69391000000.0,-10495000000.0,58093000000.0,45896000000.0,-14119000000.0,-7819000000.0,-66116000000.0,-90976000000.0,24311000000.0,101001.0,9.0,147000.0
111052,2019-04-24,51.84,52.12,51.76,51.79,49.62,70162436,0.0,18404300000.0,260174000000.0,-161782000000.0,98392000000.0,-34462000000.0,-18245000000.0,-16217000000.0,63930000000.0,1807000000.0,65737000000.0,65737000000.0,-10481000000.0,55256000000.0,55256000000.0,55256000000.0,100557000000.0,45808150798.0,4106000000.0,162819000000.0,37378000000.0,105341000000.0,32978000000.0,175697000000.0,338516000000.0,46236000000.0,16209615761.0,105722469480.0,91778108646.0,50503000000.0,248028000000.0,45174000000.0,45898000000.0,90488000000.0,338516000000.0,USD,2019.0,FY,2019-09-30,2019-10-31,2021-10-29,18471336000.0,18595652000.0,55256000000.0,12547000000.0,5076000000.0,-3488000000.0,69391000000.0,-10495000000.0,58093000000.0,45896000000.0,-14119000000.0,-7819000000.0,-66116000000.0,-90976000000.0,24311000000.0,101001.0,9.0,147000.0
