SimFinId,Date,Open,High,Low,Close,Adj. Close,Volume,Dividend,Shares Outstanding,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Operating Income (Loss),Non-Operating Income (Loss),"Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Currency,Fiscal Year,Fiscal Period,Report Date,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,IndustryId,End of financial year (month),Number Employees
59265,2019-04-10,119.76,120.35,119.54,120.19,113.53,16477169,0.0,7666000000.0,125843000000.0,-42910000000.0,82933000000.0,-39974000000.0,-23098000000.0,-16876000000.0,42959000000.0,729000000.0,43688000000.0,43688000000.0,-4448000000.0,39240000000.0,39240000000.0,39240000000.0,133819000000.0,29524000000.0,2063000000.0,175552000000.0,43871961006.0,2649000000.0,71878000000.0,111004000000.0,286556000000.0,15020927832.0,5516000000.0,69420000000.0,73013604106.0,114806000000.0,184226000000.0,78520000000.0,23810000000.0,102330000000.0,286556000000.0,USD,2019.0,FY,2019-06-30,2019-08-01,2021-07-29,7673000000.0,7753000000.0,39240000000.0,11682000000.0,-2603000000.0,3866000000.0,-2812000000.0,597000000.0,232000000.0,5849000000.0,52185000000.0,-13925000000.0,540000000.0,-16448000000.0,-13811000000.0,-4000000000.0,-18401000000.0,-36212000000.0,-590000000.0,101003.0,6.0,166475.0
59265,2019-04-11,120.54,120.85,119.92,120.33,113.66,14209121,0.0,7666000000.0,125843000000.0,-42910000000.0,82933000000.0,-39974000000.0,-23098000000.0,-16876000000.0,42959000000.0,729000000.0,43688000000.0,43688000000.0,-4448000000.0,39240000000.0,39240000000.0,39240000000.0,133819000000.0,29524000000.0,2063000000.0,175552000000.0,43871961006.0,2649000000.0,71878000000.0,111004000000.0,286556000000.0,15020927832.0,5516000000.0,69420000000.0,73013604106.0,114806000000.0,184226000000.0,78520000000.0,23810000000.0,102330000000.0,286556000000.0,USD,2019.0,FY,2019-06-30,2019-08-01,2021-07-29,7673000000.0,7753000000.0,39240000000.0,11682000000.0,-2603000000.0,3866000000.0,-2812000000.0,597000000.0,232000000.0,5849000000.0,52185000000.0,-13925000000.0,540000000.0,-16448000000.0,-13811000000.0,-4000000000.0,-18401000000.0,-36212000000.0,-590000000.0,101003.0,6.0,166475.0
59265,2019-04-12,120.64,120.98,120.37,120.95,114.25,19745143,0.0,7666000000.0,125843000000.0,-42910000000.0,82933000000.0,-39974000000.0,-23098000000.0,-16876000000.0,42959000000.0,729000000.0,43688000000.0,43688000000.0,-4448000000.0,39240000000.0,39240000000.0,39240000000.0,133819000000.0,29524000000.0,2063000000.0,175552000000.0,43871961006.0,2649000000.0,71878000000.0,111004000000.0,286556000000.0,15020927832.0,5516000000.0,69420000000.0,73013604106.0,114806000000.0,184226000000.0,78520000000.0,23810000000.0,102330000000.0,286556000000.0,USD,2019.0,FY,2019-06-30,2019-08-01,2021-07-29,7673000000.0,7753000000.0,39240000000.0,11682000000.0,-2603000000.0,3866000000.0,-2812000000.0,597000000.0,232000000.0,5849000000.0,52185000000.0,-13925000000.0,540000000.0,-16448000000.0,-13811000000.0,-4000000000.0,-18401000000.0,-36212000000.0,-590000000.0,101003.0,6.0,166475.0
59265,2019-04-15,120.94,121.58,120.57,121.05,114.34,15792572,0.0,7666000000.0,125843000000.0,-42910000000.0,82933000000.0,-39974000000.0,-23098000000.0,-16876000000.0,42959000000.0,729000000.0,43688000000.0,43688000000.0,-4448000000.0,39240000000.0,39240000000.0,39240000000.0,133819000000.0,29524000000.0,2063000000.0,175552000000.0,43871961006.0,2649000000.0,71878000000.0,111004000000.0,286556000000.0,15020927832.0,5516000000.0,69420000000.0,73013604106.0,114806000000.0,184226000000.0,78520000000.0,23810000000.0,102330000000.0,286556000000.0,USD,2019.0,FY,2019-06-30,2019-08-01,2021-07-29,7673000000.0,7753000000.0,39240000000.0,11682000000.0,-2603000000.0,3866000000.0,-2812000000.0,597000000.0,232000000.0,5849000000.0,52185000000.0,-13925000000.0,540000000.0,-16448000000.0,-13811000000.0,-4000000000.0,-18401000000.0,-36212000000.0,-590000000.0,101003.0,6.0,166475.0
59265,2019-04-16,121.64,121.65,120.1,120.77,114.08,14071787,0.0,7666000000.0,125843000000.0,-42910000000.0,82933000000.0,-39974000000.0,-23098000000.0,-16876000000.0,42959000000.0,729000000.0,43688000000.0,43688000000.0,-4448000000.0,39240000000.0,39240000000.0,39240000000.0,133819000000.0,29524000000.0,2063000000.0,175552000000.0,43871961006.0,2649000000.0,71878000000.0,111004000000.0,286556000000.0,15020927832.0,5516000000.0,69420000000.0,73013604106.0,114806000000.0,184226000000.0,78520000000.0,23810000000.0,102330000000.0,286556000000.0,USD,2019.0,FY,2019-06-30,2019-08-01,2021-07-29,7673000000.0,7753000000.0,39240000000.0,11682000000.0,-2603000000.0,3866000000.0,-2812000000.0,597000000.0,232000000.0,5849000000.0,52185000000.0,-13925000000.0,540000000.0,-16448000000.0,-13811000000.0,-4000000000.0,-18401000000.0,-36212000000.0,-590000000.0,101003.0,6.0,166475.0
59265,2019-04-17,121.24,121.85,120.54,121.77,115.02,19300938,0.0,7666000000.0,125843000000.0,-42910000000.0,82933000000.0,-39974000000.0,-23098000000.0,-16876000000.0,42959000000.0,729000000.0,43688000000.0,43688000000.0,-4448000000.0,39240000000.0,39240000000.0,39240000000.0,133819000000.0,29524000000.0,2063000000.0,175552000000.0,43871961006.0,2649000000.0,71878000000.0,111004000000.0,286556000000.0,15020927832.0,5516000000.0,69420000000.0,73013604106.0,114806000000.0,184226000000.0,78520000000.0,23810000000.0,102330000000.0,286556000000.0,USD,2019.0,FY,2019-06-30,2019-08-01,2021-07-29,7673000000.0,7753000000.0,39240000000.0,11682000000.0,-2603000000.0,3866000000.0,-2812000000.0,597000000.0,232000000.0,5849000000.0,52185000000.0,-13925000000.0,540000000.0,-16448000000.0,-13811000000.0,-4000000000.0,-18401000000.0,-36212000000.0,-590000000.0,101003.0,6.0,166475.0
59265,2019-04-18,122.19,123.52,121.3,123.37,116.53,27990998,0.0,7662817920.0,125843000000.0,-42910000000.0,82933000000.0,-39974000000.0,-23098000000.0,-16876000000.0,42959000000.0,729000000.0,43688000000.0,43688000000.0,-4448000000.0,39240000000.0,39240000000.0,39240000000.0,133819000000.0,29524000000.0,2063000000.0,175552000000.0,43871961006.0,2649000000.0,71878000000.0,111004000000.0,286556000000.0,15020927832.0,5516000000.0,69420000000.0,73013604106.0,114806000000.0,184226000000.0,78520000000.0,23810000000.0,102330000000.0,286556000000.0,USD,2019.0,FY,2019-06-30,2019-08-01,2021-07-29,7673000000.0,7753000000.0,39240000000.0,11682000000.0,-2603000000.0,3866000000.0,-2812000000.0,597000000.0,232000000.0,5849000000.0,52185000000.0,-13925000000.0,540000000.0,-16448000000.0,-13811000000.0,-4000000000.0,-18401000000.0,-36212000000.0,-590000000.0,101003.0,6.0,166475.0
59265,2019-04-22,122.62,124.0,122.57,123.76,116.9,15648724,0.0,7662817920.0,125843000000.0,-42910000000.0,82933000000.0,-39974000000.0,-23098000000.0,-16876000000.0,42959000000.0,729000000.0,43688000000.0,43688000000.0,-4448000000.0,39240000000.0,39240000000.0,39240000000.0,133819000000.0,29524000000.0,2063000000.0,175552000000.0,43871961006.0,2649000000.0,71878000000.0,111004000000.0,286556000000.0,15020927832.0,5516000000.0,69420000000.0,73013604106.0,114806000000.0,184226000000.0,78520000000.0,23810000000.0,102330000000.0,286556000000.0,USD,2019.0,FY,2019-06-30,2019-08-01,2021-07-29,7673000000.0,7753000000.0,39240000000.0,11682000000.0,-2603000000.0,3866000000.0,-2812000000.0,597000000.0,232000000.0,5849000000.0,52185000000.0,-13925000000.0,540000000.0,-16448000000.0,-13811000000.0,-4000000000.0,-18401000000.0,-36212000000.0,-590000000.0,101003.0,6.0,166475.0
59265,2019-04-23,124.1,125.58,123.83,125.44,118.49,24025521,0.0,7662817920.0,125843000000.0,-42910000000.0,82933000000.0,-39974000000.0,-23098000000.0,-16876000000.0,42959000000.0,729000000.0,43688000000.0,43688000000.0,-4448000000.0,39240000000.0,39240000000.0,39240000000.0,133819000000.0,29524000000.0,2063000000.0,175552000000.0,43871961006.0,2649000000.0,71878000000.0,111004000000.0,286556000000.0,15020927832.0,5516000000.0,69420000000.0,73013604106.0,114806000000.0,184226000000.0,78520000000.0,23810000000.0,102330000000.0,286556000000.0,USD,2019.0,FY,2019-06-30,2019-08-01,2021-07-29,7673000000.0,7753000000.0,39240000000.0,11682000000.0,-2603000000.0,3866000000.0,-2812000000.0,597000000.0,232000000.0,5849000000.0,52185000000.0,-13925000000.0,540000000.0,-16448000000.0,-13811000000.0,-4000000000.0,-18401000000.0,-36212000000.0,-590000000.0,101003.0,6.0,166475.0
59265,2019-04-24,125.79,125.85,124.52,125.01,118.08,31256980,0.0,7662817920.0,125843000000.0,-42910000000.0,82933000000.0,-39974000000.0,-23098000000.0,-16876000000.0,42959000000.0,729000000.0,43688000000.0,43688000000.0,-4448000000.0,39240000000.0,39240000000.0,39240000000.0,133819000000.0,29524000000.0,2063000000.0,175552000000.0,43871961006.0,2649000000.0,71878000000.0,111004000000.0,286556000000.0,15020927832.0,5516000000.0,69420000000.0,73013604106.0,114806000000.0,184226000000.0,78520000000.0,23810000000.0,102330000000.0,286556000000.0,USD,2019.0,FY,2019-06-30,2019-08-01,2021-07-29,7673000000.0,7753000000.0,39240000000.0,11682000000.0,-2603000000.0,3866000000.0,-2812000000.0,597000000.0,232000000.0,5849000000.0,52185000000.0,-13925000000.0,540000000.0,-16448000000.0,-13811000000.0,-4000000000.0,-18401000000.0,-36212000000.0,-590000000.0,101003.0,6.0,166475.0
